trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,2184.979545,2184.011545,2184.323546,2184.979545,2191.174545,1,NaN,0,5.99999999999996,2,1,65,0.5
2,2192.935549,2191.534045,2191.716049,2192.882545,2197.916545,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
3,2198.722048,2198.198545,2198.399045,2198.722048,2209.575045,1,NaN,0,5.99999999999996,2,1,65,0.5
4,2211.273045,2210.444545,2210.857045,2211.221045,2217.159545,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
5,2218.767545,2218.228545,2218.340045,2218.714545,2223.215045,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
6,2223.981545,2223.523045,2223.702045,2223.981545,2227.398049,1,NaN,0,5.99999999999996,2,1,65,0.5
7,2230.569045,2229.776045,2230.185045,2230.516545,2235.607045,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
8,2237.220545,2236.742045,2236.875545,2237.220545,2249.251545,0,NaN,0,7.00000000000003,1,2,66,0.5
9,2250.734045,2249.965045,2250.189045,2250.681045,2252.630545,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
10,2253.743045,2252.965045,2253.344045,2253.689545,2263.677049,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
11,2264.855547,2264.096045,2264.409049,2264.855547,2270.349045,1,NaN,0,5.99999999999996,2,1,65,0.5
12,2272.769545,2272.159545,2272.483545,2272.769545,2282.177545,1,NaN,0,5.99999999999996,2,1,65,0.5
13,2285.637545,2284.802545,2285.140545,2285.584545,2288.476545,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
14,2289.680545,2288.830045,2289.243545,2289.627545,2292.060045,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
15,2293.825545,2292.801545,2293.353545,2293.773545,2296.629045,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
16,2298.171545,2297.262545,2297.680545,2298.118545,2300.155045,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
17,2301.578549,2300.711045,2301.069549,2301.526049,2303.904545,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
18,2305.157545,2304.319545,2304.738045,2305.104545,2307.498045,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
19,2308.879045,2308.012045,2308.408545,2308.826045,2311.054545,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
20,2313.067548,2312.13755,2312.624045,2313.015045,2315.650545,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
21,2316.985045,2316.085045,2316.542045,2316.932545,2319.375045,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
22,2320.817045,2319.980545,2320.383545,2320.817045,2323.430545,1,NaN,0,5.99999999999996,2,1,65,0.5
23,2327.744545,2326.881545,2327.313045,2327.692045,2329.795545,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
24,2331.315545,2330.578545,2330.891545,2331.262545,2333.263545,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
25,2334.542045,2333.696045,2334.127545,2334.488545,2336.863045,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
26,2338.149549,2337.231545,2337.684545,2338.097045,2340.338045,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
27,2341.531045,2340.697045,2341.066045,2341.478545,2343.299545,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
28,2344.631545,2343.829545,2344.240545,2344.578549,2347.004045,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
29,2348.095045,2347.400046,2347.735045,2348.042545,2349.882545,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
30,2351.750045,2350.933546,2351.331545,2351.696549,2353.194545,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
