trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,436.064065,432.466735,432.522068,436.064065,441.864059,1,NaN,0,5.99999999999996,2,1,65,0.5
2,443.424724,442.238725,442.436058,443.424724,448.749385,0,NaN,0,7.00000000000003,1,2,66,0.5
3,453.272047,449.846051,449.894717,453.272047,458.467375,0,NaN,0,7.00000000000003,1,2,66,0.5
4,459.826707,458.914042,459.443375,459.826707,470.539363,1,NaN,0,5.99999999999996,2,1,65,0.5
5,472.017362,471.192029,471.636029,472.017362,484.06735,0,NaN,0,7.00000000000003,1,2,66,0.5
6,485.040016,484.428016,484.650016,485.040016,487.390013,1,NaN,0,5.99999999999996,2,1,65,0.5
7,492.061342,491.514676,491.727342,492.008009,493.016008,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
8,495.023339,494.414006,494.669339,494.970006,498.763335,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
9,500.972666,499.759334,500.37,500.919333,501.881999,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
10,503.285331,502.325998,502.897331,503.285331,508.603992,0,NaN,0,7.00000000000003,1,2,66,0.5
11,509.908657,509.087325,509.527991,509.855991,510.917323,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
12,512.839988,512.215322,512.455322,512.819988,519.138648,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
13,520.663313,519.980647,520.266647,520.60998,521.103313,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
14,523.391311,522.111979,522.889978,523.391311,527.687306,0,NaN,0,7.00000000000003,1,2,66,0.5
15,530.502637,529.760638,530.012637,530.44997,532.995968,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
16,536.568631,535.583965,536.214631,536.515297,537.115964,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
17,540.102627,539.416628,539.721294,540.102627,547.10662,0,NaN,0,7.00000000000003,1,2,66,0.5
18,559.891941,559.127275,559.514608,559.838607,568.044599,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
19,572.245262,571.467929,571.738596,572.242595,574.657259,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
20,576.658591,575.777258,576.269258,576.605257,577.137924,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
21,580.163254,579.238588,579.741921,580.109921,580.577253,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
22,582.645918,581.623919,582.202585,582.592585,583.122584,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
23,585.013249,584.128583,584.483916,584.959916,585.438582,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
24,591.913242,591.288576,591.549242,591.891909,615.916551,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
25,617.45255,616.403218,616.909217,617.399217,617.70455,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
26,619.469881,618.525882,618.795882,619.416548,619.901214,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
27,630.179204,627.497206,627.923873,630.179204,633.6952,0,NaN,0,7.00000000000003,1,2,66,0.5
28,645.523188,644.875189,645.123189,645.523188,658.778509,1,NaN,0,5.99999999999996,2,1,65,0.5
29,664.298503,661.507839,661.784505,664.298503,679.434488,1,NaN,0,5.99999999999996,2,1,65,0.5
30,681.533152,680.59582,681.092486,681.479819,690.40781,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
31,691.763809,690.931143,691.266476,691.710476,696.909804,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
32,698.204469,697.283803,697.745136,698.151136,700.980466,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
33,702.358465,701.401133,701.975132,702.305132,704.276463,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
34,706.597794,705.829795,706.120461,706.544461,707.005794,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
35,713.337787,712.212455,712.962454,713.284454,713.71112,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
36,714.889119,713.995787,714.484453,714.835786,715.582452,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
37,718.321116,717.69645,717.934449,718.271116,718.672449,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
38,721.945112,721.147779,721.600446,721.891779,722.408445,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
39,724.339776,723.453111,724.015777,724.339776,734.145766,0,NaN,0,7.00000000000003,1,2,66,0.5
40,735.080432,734.517099,734.759766,735.027099,735.429765,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
41,739.907761,739.125095,739.428428,739.854427,741.237759,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
42,744.04709,743.122424,743.656424,743.993757,744.779756,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
43,747.351087,746.667754,746.923087,747.297753,747.659086,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
44,750.037751,749.027752,749.539084,749.984417,750.447084,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
45,752.918414,752.144415,752.511081,752.918414,770.678397,0,NaN,0,7.00000000000003,1,2,66,0.5
46,772.831728,772.082396,772.381728,772.831728,818.633682,0,NaN,0,7.00000000000003,1,2,66,0.5
47,839.636994,831.658336,831.979669,839.636994,856.085645,0,NaN,0,7.00000000000003,1,2,66,0.5
48,860.43564,859.536308,859.745641,860.382307,861.273639,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
49,864.075637,863.252971,863.546304,864.022303,867.774966,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
50,879.289621,877.200957,878.635622,879.289621,886.426281,1,NaN,0,5.99999999999996,2,1,65,0.5
51,887.943613,886.979614,887.482946,887.890279,888.736279,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
52,890.188944,889.239611,889.817611,890.188944,890.518277,0,NaN,0,7.00000000000003,1,2,66,0.5
53,912.436922,906.402928,906.684261,912.436922,916.728251,1,NaN,0,5.99999999999996,2,1,65,0.5
54,919.378915,918.346916,918.961582,919.325581,921.09758,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
55,924.540909,923.60291,924.083577,924.538243,931.102903,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
56,932.892901,931.850235,932.248902,932.840234,935.170899,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
57,936.414231,935.548232,935.994231,936.360898,940.55356,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
58,942.559558,941.788892,942.096225,942.506225,944.389556,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
59,946.028221,945.403555,945.678888,945.988221,946.484221,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
60,948.660219,947.76622,948.272886,948.606885,952.963548,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
61,955.199545,954.471546,954.730879,955.146212,955.718878,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
62,957.260877,956.643544,956.876877,957.207543,959.873541,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
63,962.330872,961.706206,961.972205,962.311538,962.754205,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
64,965.264869,964.31887,964.859536,965.211535,968.244866,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
65,969.495531,968.681532,969.083532,969.442198,971.860862,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
66,973.164194,972.355528,972.758861,973.110861,976.855524,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
67,979.309521,978.222189,978.778189,979.256188,984.015517,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
68,985.208849,984.478849,984.780183,985.155515,986.002181,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
69,987.22218,986.308181,986.758847,987.168847,995.726172,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
70,996.997504,996.184838,996.549504,996.94417,1000.3715,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
