trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,151.788104,150.943438,151.082771,151.734771,173.482082,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
2,174.856081,174.176081,174.444748,174.856081,199.879389,0,NaN,0,7.00000000000003,1,2,66,0.5
3,200.852055,200.242722,200.494722,200.852055,215.40004,0,NaN,0,7.00000000000003,1,2,66,0.5
4,217.282705,216.860705,216.936705,217.282705,225.92803,0,NaN,0,7.00000000000003,1,2,66,0.5
5,231.507357,230.102692,230.982025,231.507357,252.19267,1,NaN,0,5.99999999999996,2,1,65,0.5
6,253.497335,252.652003,252.993336,253.444002,257.036665,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
7,259.01133,258.439997,258.635997,259.01133,265.33999,0,NaN,0,7.00000000000003,1,2,66,0.5
8,266.549322,265.841323,266.136656,266.549322,288.955967,1,NaN,0,5.99999999999996,2,1,65,0.5
9,290.904631,290.235965,290.469298,290.904631,296.735292,1,NaN,0,5.99999999999996,2,1,65,0.5
10,302.47862,299.114623,299.373956,302.425286,310.060612,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
11,313.441275,312.816609,312.928609,313.429942,359.35723,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
12,362.519226,360.384562,360.545228,362.519226,401.588521,1,NaN,0,5.99999999999996,2,1,65,0.5
13,408.53918,407.633181,407.713848,408.53918,415.132507,0,NaN,0,7.00000000000003,1,2,66,0.5
14,416.245839,415.52584,415.695173,416.192506,422.752499,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
15,427.817828,427.149828,427.338495,427.817828,428.353161,0,NaN,0,7.00000000000003,1,2,66,0.5
16,476.257113,475.31978,475.709113,476.203779,486.029103,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
17,487.331768,486.609102,486.792435,487.278435,492.345763,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
18,493.929095,492.967763,493.333762,493.875762,497.729091,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
19,499.262423,498.508424,498.69709,499.20909,502.56442,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
20,503.993752,503.085086,503.307752,503.940418,507.357748,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
21,508.64708,507.902414,508.245081,508.64708,515.168407,0,NaN,0,7.00000000000003,1,2,66,0.5
22,516.679739,515.73974,516.139739,516.679739,522.784399,1,NaN,0,5.99999999999996,2,1,65,0.5
23,524.026398,523.289066,523.553065,524.026398,529.419726,0,NaN,0,7.00000000000003,1,2,66,0.5
24,531.99439,531.332391,531.519724,531.941057,534.513721,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
25,537.198385,536.422386,536.716385,537.145052,538.439717,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
26,543.714378,543.058379,543.274379,543.714378,561.145694,0,NaN,0,7.00000000000003,1,2,66,0.5
27,562.535693,561.803694,562.067693,562.535693,574.590348,0,NaN,0,7.00000000000003,1,2,66,0.5
28,581.410341,580.568342,580.857675,581.357007,595.492327,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
29,599.967656,595.992993,596.295659,599.914322,608.209647,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
30,609.591646,608.849647,609.04298,609.591646,651.672937,0,NaN,0,7.00000000000003,1,2,66,0.5
31,669.589586,668.811587,669.037586,669.536253,676.807579,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
32,678.91491,678.338244,678.48891,678.91491,691.446231,0,NaN,0,7.00000000000003,1,2,66,0.5
33,697.203559,696.468892,696.683559,697.150225,702.850886,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
34,704.168885,703.370885,703.664885,704.168885,711.065544,0,NaN,0,7.00000000000003,1,2,66,0.5
35,712.653543,711.677544,711.996877,712.60021,715.11554,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
36,717.194872,716.01754,716.704872,717.194872,722.670866,1,NaN,0,5.99999999999996,2,1,65,0.5
37,723.874865,723.125532,723.438199,723.821532,726.761529,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
38,728.256194,727.348195,727.765528,728.256194,740.483515,1,NaN,0,5.99999999999996,2,1,65,0.5
39,741.924847,741.212181,741.498181,741.924847,747.247508,1,NaN,0,5.99999999999996,2,1,65,0.5
40,748.741507,747.696841,748.166841,748.688173,753.052169,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
41,754.844167,753.795502,754.132835,754.844167,920.430002,1,NaN,0,5.99999999999996,2,1,65,0.5
42,923.734665,922.841333,923.163332,923.734665,964.215958,1,NaN,0,5.99999999999996,2,1,65,0.5
43,965.748623,964.866624,965.064624,965.69529,983.780605,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
44,985.63927,984.629271,984.901937,985.585937,990.931265,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
45,993.191929,992.051263,992.405263,993.191929,1000.647255,0,NaN,0,7.00000000000003,1,2,66,0.5
46,1002.401253,1001.457921,1001.684587,1002.34792,1004.145251,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
47,1005.975249,1005.03525,1005.350584,1005.921916,1023.214566,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
48,1025.21523,1024.421898,1024.538564,1025.161897,1028.447227,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
49,1030.081225,1029.319893,1029.481893,1030.081225,1036.131219,0,NaN,0,7.00000000000003,1,2,66,0.5
50,1037.665218,1036.875885,1037.094552,1037.665218,1045.887876,0,NaN,0,7.00000000000003,1,2,66,0.5
51,1047.349875,1046.543876,1046.771209,1047.349875,1048.999207,0,NaN,0,7.00000000000003,1,2,66,0.5
52,1059.409863,1058.717863,1058.93453,1059.356529,1064.998524,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
53,1069.661186,1068.837853,1069.11652,1069.607853,1079.470509,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
54,1080.773175,1080.076509,1080.258509,1080.773175,1081.89584,0,NaN,0,7.00000000000003,1,2,66,0.5
55,1090.543832,1089.940499,1090.122499,1090.543832,1131.666457,0,NaN,0,7.00000000000003,1,2,66,0.5
56,1140.341782,1139.717116,1139.778449,1140.316449,1148.55644,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
57,1151.071771,1149.973106,1150.555772,1151.071771,1159.18443,1,NaN,0,5.99999999999996,2,1,65,0.5
58,1160.666428,1159.818429,1160.143095,1160.613095,1163.125759,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
59,1165.30709,1164.141091,1164.748424,1165.254423,1173.512415,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
60,1175.499747,1174.551081,1174.977081,1175.499747,1179.21841,1,NaN,0,5.99999999999996,2,1,65,0.5
61,1182.45574,1181.653074,1181.923074,1182.402406,1188.006401,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
62,1189.933732,1188.889067,1189.398399,1189.933732,1198.747057,1,NaN,0,5.99999999999996,2,1,65,0.5
63,1201.067054,1200.177722,1200.421055,1201.013721,1210.069712,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
64,1211.360377,1210.645712,1210.869711,1211.360377,1221.491034,1,NaN,0,5.99999999999996,2,1,65,0.5
65,1224.939697,1224.087031,1224.265031,1224.886364,1228.783693,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
66,1230.492358,1229.499693,1229.901692,1230.492358,1235.49302,1,NaN,0,5.99999999999996,2,1,65,0.5
67,1237.381018,1235.980353,1236.674352,1237.381018,1385.539537,1,NaN,0,5.99999999999996,2,1,65,0.5
68,1387.820201,1386.750202,1387.110868,1387.766868,1393.345529,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
69,1394.779527,1393.993528,1394.192861,1394.726194,1402.902186,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
70,1404.670851,1403.745518,1403.927518,1404.617518,1406.131516,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
71,1408.016181,1407.146848,1407.504848,1408.016181,1412.428176,1,NaN,0,5.99999999999996,2,1,65,0.5
72,1414.223508,1413.432842,1413.675509,1414.170175,1418.685504,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
73,1420.344835,1419.520836,1419.730169,1420.291502,1425.478163,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
74,1427.176162,1426.222165,1426.556829,1427.122828,1429.16616,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
75,1430.594158,1429.858159,1430.030826,1430.540825,1431.98949,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
76,1434.124821,1433.419489,1433.650822,1434.124821,1455.905466,0,NaN,0,7.00000000000003,1,2,66,0.5
77,1458.272797,1457.474798,1457.673465,1458.272797,1508.88408,0,NaN,0,7.00000000000003,1,2,66,0.5
78,1513.852075,1512.824076,1513.170742,1513.852075,1518.94007,0,NaN,0,7.00000000000003,1,2,66,0.5
79,1520.916735,1520.067402,1520.313402,1520.916735,1529.31606,1,NaN,0,5.99999999999996,2,1,65,0.5
80,1531.806724,1531.258058,1531.284058,1531.806724,1539.978716,0,NaN,0,7.00000000000003,1,2,66,0.5
81,1556.632699,1555.869366,1556.153366,1556.579366,1560.471362,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
82,1563.916692,1563.062692,1563.339359,1563.863358,1567.432688,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
83,1568.88402,1568.143354,1568.328687,1568.88402,1574.977347,1,NaN,0,5.99999999999996,2,1,65,0.5
84,1578.284011,1577.403345,1577.762011,1578.284011,1631.175291,0,NaN,0,7.00000000000003,1,2,66,0.5
85,1634.458621,1631.932624,1632.17129,1634.405288,1649.521945,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
86,1651.87327,1650.939271,1651.221938,1651.819937,1655.419933,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
87,1657.847264,1657.020599,1657.231932,1657.847264,1666.171256,0,NaN,0,7.00000000000003,1,2,66,0.5
88,1667.607255,1666.790589,1667.112588,1667.607255,1671.96725,0,NaN,0,7.00000000000003,1,2,66,0.5
89,1675.353914,1674.577914,1674.822581,1675.30058,1679.515243,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
90,1681.101908,1680.353909,1680.556576,1681.101908,1686.254569,0,NaN,0,7.00000000000003,1,2,66,0.5
91,1687.817901,1686.831902,1687.283902,1687.817901,1694.265228,1,NaN,0,5.99999999999996,2,1,65,0.5
92,1696.485892,1695.721226,1695.93856,1696.432559,1699.462556,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
93,1700.726555,1699.973889,1700.167222,1700.673222,1703.924552,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
94,1705.96855,1705.117217,1705.48855,1705.96855,1713.575875,0,NaN,0,7.00000000000003,1,2,66,0.5
95,1715.107874,1714.067208,1714.518541,1715.055207,1718.048537,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
96,1719.437203,1718.690537,1718.885203,1719.437203,1726.527862,0,NaN,0,7.00000000000003,1,2,66,0.5
97,1729.777866,1727.009862,1727.289195,1729.777866,1734.507188,1,NaN,0,5.99999999999996,2,1,65,0.5
98,1736.505852,1735.633853,1735.94252,1736.505852,1742.683179,0,NaN,0,7.00000000000003,1,2,66,0.5
99,1744.517178,1743.745179,1744.015845,1744.517178,1751.712504,0,NaN,0,7.00000000000003,1,2,66,0.5
