trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,82.636061,79.46524,79.508907,82.565894,1819.76894,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
2,1825.139419,1824.517593,1824.56976,1825.114758,1846.436172,1,NaN,0,7.00000000000003,1,2,66,0.5
3,1856.768126,1852.550977,1852.615142,1856.679459,1861.449774,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
4,1865.147425,1863.588604,1864.312101,1865.008265,1875.693883,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
5,1876.982545,1876.177548,1876.413052,1876.889044,1880.893362,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
6,1884.352854,1883.389852,1883.572024,1884.352854,1891.728986,1,NaN,0,5.99999999999996,2,1,65,0.5
7,1892.706815,1892.076151,1892.27815,1892.704654,1902.362609,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
8,1905.251098,1904.44494,1904.899432,1905.251098,1927.340682,1,NaN,0,5.99999999999996,2,1,65,0.5
9,1933.796151,1933.016993,1933.338985,1933.796151,1941.438626,1,NaN,0,5.99999999999996,2,1,65,0.5
10,1942.93112,1941.860286,1942.319289,1942.93112,1946.138273,1,NaN,0,5.99999999999996,2,1,65,0.5
11,1963.686703,1963.064033,1963.280366,1963.63537,1971.319,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
12,1974.788826,1973.75399,1974.203824,1974.673987,1976.683318,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
13,1978.288811,1977.115478,1977.737308,1978.288811,1997.573062,1,NaN,0,5.99999999999996,2,1,65,0.5
14,2003.838043,2003.215212,2003.319206,2003.76287,2020.033145,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
15,2024.835619,2023.954796,2024.235128,2024.835619,2039.667893,1,NaN,0,5.99999999999996,2,1,65,0.5
16,2041.458553,2040.53039,2040.772556,2041.458553,2060.141484,1,NaN,0,5.99999999999996,2,1,65,0.5
17,2070.960607,2070.337777,2070.41561,2070.854269,2078.681905,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
18,2080.195571,2079.372241,2079.636239,2080.112899,2083.506051,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
19,2088.507537,2087.501035,2087.690874,2088.452538,2123.259232,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
20,2126.736046,2125.936882,2126.176881,2126.736046,2130.441536,1,NaN,0,5.99999999999996,2,1,65,0.5
21,2136.497345,2135.928348,2135.977175,2136.368173,2140.57799,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
22,2146.97197,2146.2283,2146.442806,2146.878798,2152.664275,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
23,2160.860076,2160.155917,2160.43291,2160.860076,2167.232889,0,NaN,0,7.00000000000003,1,2,66,0.5
24,2172.644028,2172.088036,2172.162536,2172.644028,2187.874134,0,NaN,0,7.00000000000003,1,2,66,0.5
25,2188.926802,2188.2743,2188.367804,2188.926802,2207.804554,1,NaN,0,5.99999999999996,2,1,65,0.5
26,2208.833723,2208.205892,2208.429886,2208.833723,2216.16736,1,NaN,0,5.99999999999996,2,1,65,0.5
27,2217.823348,2216.593692,2217.235689,2217.769688,2222.567662,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
28,2224.671321,2223.698825,2224.179661,2224.671321,2258.210853,1,NaN,0,5.99999999999996,2,1,65,0.5
29,2261.838511,2261.119175,2261.389179,2261.838511,2277.667108,0,NaN,0,7.00000000000003,1,2,66,0.5
30,2278.969275,2278.054112,2278.480606,2278.846103,2312.676801,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
31,2313.969302,2313.274138,2313.491965,2313.969302,2338.389198,1,NaN,0,5.99999999999996,2,1,65,0.5
32,2339.634699,2338.795197,2339.033029,2339.634699,2352.226476,1,NaN,0,5.99999999999996,2,1,65,0.5
33,2353.042813,2352.561314,2352.728814,2353.042813,2362.600441,0,NaN,0,7.00000000000003,1,2,66,0.5
34,2363.94293,2363.334932,2363.434265,2363.831603,2369.946912,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
35,2371.05724,2370.34891,2370.585742,2370.981407,2376.861884,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
36,2378.180712,2377.311715,2377.517715,2378.178545,2383.875017,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
37,2385.414516,2384.472353,2384.679186,2385.41235,2392.445482,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
38,2394.544807,2393.839644,2394.140643,2394.544807,2401.387446,0,NaN,0,7.00000000000003,1,2,66,0.5
39,2402.986113,2401.796611,2402.598109,2402.986113,2411.41024,0,NaN,0,7.00000000000003,1,2,66,0.5
40,2412.877907,2411.778578,2412.477236,2412.877907,2420.502376,1,NaN,0,5.99999999999996,2,1,65,0.5
41,2422.226869,2420.864875,2421.635532,2422.226869,2424.771526,1,NaN,0,5.99999999999996,2,1,65,0.5
42,2430.626002,2429.443507,2429.965332,2430.518997,2436.870305,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
43,2438.109966,2437.383136,2437.587469,2438.109966,2443.237279,1,NaN,0,5.99999999999996,2,1,65,0.5
44,2444.89344,2443.65295,2444.150276,2444.891112,2449.354088,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
45,2450.813749,2449.81342,2450.151085,2450.813749,2456.874397,1,NaN,0,5.99999999999996,2,1,65,0.5
46,2462.183043,2461.140041,2461.685372,2462.07787,2464.718532,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
47,2466.641025,2465.261192,2465.638195,2466.630025,2471.414833,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
48,2473.099666,2471.880832,2472.280164,2473.097499,2476.332153,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
49,2477.861313,2476.796145,2477.10781,2477.861313,2483.367619,1,NaN,0,5.99999999999996,2,1,65,0.5
50,2485.169278,2483.911616,2484.376281,2485.169278,2490.540763,1,NaN,0,5.99999999999996,2,1,65,0.5
51,2505.074538,2504.265202,2504.487367,2505.074538,2509.718352,1,NaN,0,5.99999999999996,2,1,65,0.5
52,2515.274497,2514.673993,2514.905993,2515.274497,2525.335784,0,NaN,0,7.00000000000003,1,2,66,0.5
53,2526.330114,2525.707455,2525.909615,2526.275948,2534.666747,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
54,2536.453079,2535.572576,2535.756576,2536.453079,2544.44938,1,NaN,0,5.99999999999996,2,1,65,0.5
55,2641.96449,2640.746156,2641.016321,2641.96449,2658.369252,1,NaN,0,5.99999999999996,2,1,65,0.5
56,2659.41692,2658.794256,2658.966083,2659.346582,2668.188385,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
57,2669.727212,2668.75171,2668.96871,2669.725046,2674.935019,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
58,2676.086348,2675.395023,2675.597022,2676.086348,2681.964663,1,NaN,0,5.99999999999996,2,1,65,0.5
59,2682.956826,2682.334323,2682.494155,2682.886654,2687.083976,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
60,2688.409304,2687.584974,2687.873973,2688.407138,2691.105627,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
61,2692.469455,2691.545953,2691.96229,2692.400782,2696.338934,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
62,2697.596768,2696.971597,2697.127603,2697.596768,2711.068714,0,NaN,0,7.00000000000003,1,2,66,0.5
63,2712.424042,2711.801371,2711.99021,2712.366369,2716.832352,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
64,2717.926848,2717.304683,2717.470855,2717.835353,2730.821795,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
65,2737.646935,2736.843771,2737.234603,2737.646935,2749.606388,0,NaN,0,7.00000000000003,1,2,66,0.5
66,2750.998554,2750.224384,2750.468889,2750.907548,2757.563188,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
67,2758.682523,2758.110359,2758.276852,2758.682523,2765.334997,0,NaN,0,7.00000000000003,1,2,66,0.5
68,2767.00599,2765.701823,2766.188993,2767.003823,2771.006969,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
69,2772.25713,2771.534633,2771.749298,2772.165636,2776.526613,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
70,2777.846275,2776.93745,2777.195777,2777.695781,2783.098926,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
71,2784.290248,2783.668751,2783.844089,2784.290248,2790.003225,0,NaN,0,7.00000000000003,1,2,66,0.5
72,2795.750869,2795.143377,2795.351038,2795.750869,2803.09134,0,NaN,0,7.00000000000003,1,2,66,0.5
73,2804.924005,2803.494505,2804.196836,2804.924005,2811.528306,1,NaN,0,5.99999999999996,2,1,65,0.5
74,2812.513469,2811.890644,2812.08347,2812.441636,2820.493937,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
75,2821.651932,2821.078268,2821.270767,2821.651932,2829.120575,0,NaN,0,7.00000000000003,1,2,66,0.5
76,2830.829235,2829.6789,2830.362237,2830.829235,2844.252181,1,NaN,0,5.99999999999996,2,1,65,0.5
77,2845.353505,2844.610174,2844.789179,2845.277677,2849.601488,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
78,2850.697489,2850.134652,2850.341484,2850.697489,2864.774932,0,NaN,0,7.00000000000003,1,2,66,0.5
79,2883.047854,2882.089863,2882.481689,2882.909354,2891.402159,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
80,2892.787981,2892.139817,2892.374816,2892.787981,2900.567789,0,NaN,0,7.00000000000003,1,2,66,0.5
81,2908.146592,2907.414095,2907.649594,2908.074592,2911.438412,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
82,2913.360071,2911.904077,2912.369236,2913.357899,2916.595558,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
83,2917.959048,2916.999718,2917.22855,2917.95688,2921.640205,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
84,2922.91086,2922.168197,2922.382035,2922.91086,2928.664337,1,NaN,0,5.99999999999996,2,1,65,0.5
85,2934.124322,2933.367652,2933.577651,2934.043316,2939.504961,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
86,2941.564292,2940.373124,2940.567129,2941.562125,2946.022268,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
87,2947.251269,2946.543772,2946.740932,2947.251269,2953.944909,1,NaN,0,5.99999999999996,2,1,65,0.5
88,2956.251894,2954.517067,2955.629063,2956.249566,2961.826371,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
89,2963.443698,2962.388708,2962.826873,2963.443698,2968.414851,1,NaN,0,5.99999999999996,2,1,65,0.5
90,2969.745679,2968.891849,2969.296508,2969.745679,3005.002199,1,NaN,0,5.99999999999996,2,1,65,0.5
91,3008.779517,3008.013859,3008.191025,3008.779517,3017.760148,1,NaN,0,5.99999999999996,2,1,65,0.5
92,3018.888482,3018.272485,3018.415312,3018.812477,3023.760963,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
93,3025.318457,3024.394627,3024.852625,3025.205452,3037.141403,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
94,3040.74589,3039.903892,3040.131731,3040.632889,3044.911378,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
95,3047.922194,3046.411034,3046.739699,3047.920027,3052.514681,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
96,3054.293841,3053.551671,3053.797676,3054.207002,3058.508324,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
97,3059.822485,3059.043655,3059.366654,3059.715646,3073.170093,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
98,3074.55426,3073.669257,3074.041262,3074.47976,3081.118728,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
99,3082.636727,3081.776892,3082.126396,3082.636727,3085.873048,0,NaN,0,7.00000000000003,1,2,66,0.5
100,3092.378683,3091.638019,3091.841024,3092.30385,3096.632005,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
101,3097.845661,3097.231002,3097.415335,3097.845661,3103.762976,0,NaN,0,7.00000000000003,1,2,66,0.5
102,3105.572636,3104.696967,3105.171465,3105.572636,3110.658777,0,NaN,0,7.00000000000003,1,2,66,0.5
103,3112.399936,3111.452445,3111.553606,3112.344436,3117.263756,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
104,3118.842583,3118.008247,3118.191746,3118.842583,3124.755053,0,NaN,0,7.00000000000003,1,2,66,0.5
105,3126.19372,3125.403384,3125.654049,3126.191387,3131.315027,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
106,3132.574189,3131.893358,3132.125529,3132.574189,3139.088835,0,NaN,0,7.00000000000003,1,2,66,0.5
107,3140.974994,3139.721666,3140.42683,3140.972827,3144.221976,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
108,3145.786303,3144.69114,3145.014805,3145.727303,3150.541456,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
109,3151.845951,3150.952788,3151.167947,3151.843784,3156.725092,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
110,3157.87742,3157.233262,3157.444089,3157.87742,3164.3889,0,NaN,0,7.00000000000003,1,2,66,0.5
111,3165.701562,3164.863899,3165.21573,3165.701562,3167.238384,1,NaN,0,5.99999999999996,2,1,65,0.5
112,3189.217129,3188.353805,3188.63147,3189.214962,3195.303271,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
113,3196.710432,3195.933108,3196.240101,3196.710432,3204.143069,0,NaN,0,7.00000000000003,1,2,66,0.5
114,3205.316737,3204.548734,3204.761233,3205.31457,3210.878208,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
115,3212.281203,3211.36204,3211.588378,3212.279036,3216.464353,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
116,3217.565188,3217.030856,3217.153184,3217.565188,3229.264302,1,NaN,0,5.99999999999996,2,1,65,0.5
117,3230.274298,3229.634301,3229.799799,3230.274298,3241.288587,1,NaN,0,5.99999999999996,2,1,65,0.5
118,3242.482415,3241.928251,3242.036917,3242.482415,3252.608709,0,NaN,0,7.00000000000003,1,2,66,0.5
119,3253.763204,3252.961374,3253.182207,3253.763204,3257.492689,1,NaN,0,5.99999999999996,2,1,65,0.5
120,3261.613345,3260.916508,3261.229174,3261.613345,3267.219316,0,NaN,0,7.00000000000003,1,2,66,0.5
121,3268.515645,3267.613821,3268.130479,3268.515645,3271.337806,0,NaN,0,7.00000000000003,1,2,66,0.5
122,3275.071624,3274.173789,3274.581793,3274.992291,3277.866774,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
123,3279.601434,3278.550271,3278.942276,3279.55544,3283.797589,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
124,3285.229078,3284.273916,3284.582414,3285.229078,3303.625171,1,NaN,0,5.99999999999996,2,1,65,0.5
125,3305.819163,3305.201665,3305.365497,3305.816995,3308.016153,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
126,3309.942985,3308.807484,3309.187655,3309.940812,3314.530967,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
127,3315.903461,3314.983292,3315.43813,3315.903461,3321.547266,1,NaN,0,5.99999999999996,2,1,65,0.5
128,3332.828887,3332.136396,3332.416222,3332.828887,3360.271944,0,NaN,0,7.00000000000003,1,2,66,0.5
129,3361.61394,3360.796609,3360.997942,3361.501273,3370.674236,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
130,3372.866567,3371.90507,3372.191069,3372.7749,3376.513719,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
131,3377.897713,3377.020044,3377.23821,3377.897713,3383.552352,1,NaN,0,5.99999999999996,2,1,65,0.5
132,3385.929342,3385.079184,3385.383183,3385.929342,3392.197817,1,NaN,0,5.99999999999996,2,1,65,0.5
133,3393.680811,3392.613316,3392.835987,3393.680811,3404.201436,0,NaN,0,7.00000000000003,1,2,66,0.5
134,3405.093098,3404.524435,3404.7321,3405.093098,3408.490424,0,NaN,0,7.00000000000003,1,2,66,0.5
135,3414.589066,3413.809069,3414.072396,3414.506395,3417.80772,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
136,3419.181543,3418.261379,3418.649883,3419.083542,3421.616199,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
137,3422.982366,3422.03087,3422.334369,3422.980199,3426.704018,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
138,3428.157012,3427.238849,3427.530842,3428.137845,3433.341652,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
139,3434.467981,3433.80115,3434.027822,3434.467981,3440.946794,0,NaN,0,7.00000000000003,1,2,66,0.5
140,3442.444449,3441.373286,3441.811952,3442.444449,3448.396431,1,NaN,0,5.99999999999996,2,1,65,0.5
141,3449.813925,3449.085756,3449.446422,3449.813925,3455.500736,0,NaN,0,7.00000000000003,1,2,66,0.5
142,3457.838393,3456.574232,3457.426228,3457.838393,3462.043204,0,NaN,0,7.00000000000003,1,2,66,0.5
143,3465.966021,3465.324025,3465.598356,3465.966021,3471.752665,0,NaN,0,7.00000000000003,1,2,66,0.5
144,3473.709158,3472.139497,3473.173999,3473.608164,3475.879154,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
145,3477.196977,3476.316813,3476.648979,3477.196977,3483.002621,1,NaN,0,5.99999999999996,2,1,65,0.5
146,3484.843452,3483.401618,3484.412454,3484.843452,3492.303583,0,NaN,0,7.00000000000003,1,2,66,0.5
147,3493.281418,3492.641587,3492.92792,3493.281418,3498.833224,0,NaN,0,7.00000000000003,1,2,66,0.5
148,3499.767059,3499.155555,3499.377554,3499.767059,3505.870528,1,NaN,0,5.99999999999996,2,1,65,0.5
149,3509.311187,3508.688518,3508.899356,3509.250515,3511.349013,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
150,3512.700507,3511.715338,3512.028677,3512.698335,3517.123317,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
151,3518.543144,3517.540815,3517.992486,3518.543144,3524.655287,1,NaN,0,5.99999999999996,2,1,65,0.5
152,3529.727106,3529.001442,3529.234608,3529.633767,3533.240419,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
153,3534.913252,3534.165421,3534.399748,3534.826585,3538.102733,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
154,3539.349895,3538.556898,3538.861897,3539.251068,3547.422868,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
155,3548.776691,3548.024866,3548.290026,3548.694863,3553.03234,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
156,3554.330501,3553.588172,3553.936336,3554.330501,3562.272476,0,NaN,0,7.00000000000003,1,2,66,0.5
157,3564.015797,3562.671635,3563.438965,3563.892963,3568.67745,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
158,3570.106611,3569.207114,3569.589774,3570.106611,3577.19391,0,NaN,0,7.00000000000003,1,2,66,0.5
159,3579.126075,3577.597414,3578.532077,3579.001069,3583.273725,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
160,3584.676047,3583.730551,3584.207216,3584.676047,3589.841199,0,NaN,0,7.00000000000003,1,2,66,0.5
161,3592.001684,3590.228697,3591.513025,3592.001684,3599.525821,0,NaN,0,7.00000000000003,1,2,66,0.5
162,3601.822484,3599.979653,3601.012487,3601.820317,3606.460293,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
163,3607.926293,3607.028457,3607.254629,3607.924126,3611.366773,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
164,3612.997106,3611.804944,3612.401775,3612.8921,3616.353921,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
165,3617.938253,3616.766924,3617.393582,3617.860914,3622.836227,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
166,3624.347388,3623.312392,3623.858557,3624.347388,3631.256533,0,NaN,0,7.00000000000003,1,2,66,0.5
167,3632.844021,3631.667031,3632.083524,3632.841693,3638.053333,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
168,3639.486167,3638.444832,3638.688503,3639.483995,3643.659144,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
169,3644.969806,3644.215481,3644.428474,3644.969806,3652.216944,1,NaN,0,5.99999999999996,2,1,65,0.5
170,3654.246936,3652.673114,3653.699937,3654.193935,3657.083258,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
171,3658.586252,3657.558922,3657.94092,3658.584251,3663.320065,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
172,3664.630394,3663.908396,3664.103235,3664.630394,3670.772708,1,NaN,0,5.99999999999996,2,1,65,0.5
173,3672.616695,3671.125873,3671.782865,3672.614528,3677.778014,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
174,3679.056836,3678.296172,3678.584504,3679.056836,3683.084159,0,NaN,0,7.00000000000003,1,2,66,0.5
175,3685.910309,3684.968812,3685.218484,3685.795481,3689.473461,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
176,3691.077794,3689.870626,3690.520629,3690.959455,3694.042942,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
177,3695.55977,3694.511941,3695.148277,3695.55977,3705.180731,0,NaN,0,7.00000000000003,1,2,66,0.5
178,3706.972058,3705.626235,3706.400893,3706.868725,3711.269207,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
179,3712.891706,3711.672873,3712.036377,3712.889535,3717.482521,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
180,3719.279681,3718.044847,3718.328179,3719.277514,3724.042662,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
181,3725.318318,3724.483321,3724.748486,3725.318318,3732.613788,1,NaN,0,5.99999999999996,2,1,65,0.5
182,3734.682453,3733.020293,3734.071616,3734.567781,3739.910426,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
183,3741.966918,3741.022755,3741.383253,3741.823585,3747.503896,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
184,3748.821396,3747.959233,3748.343565,3748.763891,3752.112378,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
185,3753.557038,3752.510715,3753.053206,3753.557038,3759.074355,0,NaN,0,7.00000000000003,1,2,66,0.5
186,3761.678339,3759.457347,3761.033008,3761.568672,3773.556625,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
187,3775.376951,3774.134123,3774.831292,3775.299457,3778.280778,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
188,3779.874933,3778.75511,3779.026609,3779.872766,3783.808423,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
189,3785.292078,3784.316748,3784.54592,3785.289911,3789.660893,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
190,3791.424387,3790.389557,3790.580062,3791.36322,3795.317371,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
191,3797.232364,3795.799035,3796.493033,3797.230196,3802.128349,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
192,3803.592838,3802.582842,3803.001674,3803.515838,3806.985997,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
193,3808.311486,3807.489489,3807.715988,3808.252652,3809.999818,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
