trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,403.141742,402.151742,402.587742,403.141742,1781.144242,1,NaN,0,5.99999999999996,2,1,65,0.5
2,1783.555242,1782.664742,1782.871242,1783.555242,1845.852242,1,NaN,0,5.99999999999996,2,1,65,0.5
3,1848.965242,1846.753242,1847.323242,1848.912742,1879.689746,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
4,1881.367242,1880.431742,1880.833743,1881.367242,1922.063242,1,NaN,0,5.99999999999996,2,1,65,0.5
5,1925.052242,1923.655741,1924.189242,1924.999242,1942.340743,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
6,1944.604742,1943.772742,1943.991243,1944.604742,1965.237242,0,NaN,0,7.00000000000003,1,2,66,0.5
7,1966.460742,1965.656741,1965.910746,1966.407742,1970.387242,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
8,1971.893242,1970.815742,1971.355742,1971.893242,1985.793242,0,NaN,0,7.00000000000003,1,2,66,0.5
9,1987.313742,1986.588742,1986.853742,1987.261242,1995.830242,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
10,1997.147242,1996.327242,1996.581242,1997.147242,2003.502242,0,NaN,0,7.00000000000003,1,2,66,0.5
11,2004.666242,2004.016242,2004.280242,2004.666242,2018.948742,0,NaN,0,7.00000000000003,1,2,66,0.5
12,2020.299242,2019.526742,2019.808742,2020.246742,2024.149242,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
13,2025.152246,2024.528742,2024.726243,2025.132246,2029.120742,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
14,2030.262242,2029.611242,2029.883742,2030.262242,2039.874741,0,NaN,0,7.00000000000003,1,2,66,0.5
15,2047.832246,2047.265242,2047.400742,2047.832246,2065.523242,0,NaN,0,7.00000000000003,1,2,66,0.5
16,2066.595742,2066.107242,2066.236242,2066.595742,2084.129742,0,NaN,0,7.00000000000003,1,2,66,0.5
17,2085.149242,2084.540743,2084.718744,2085.149242,2090.815241,0,NaN,0,7.00000000000003,1,2,66,0.5
18,2092.950242,2091.928742,2092.503242,2092.897242,2099.830742,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
19,2101.212742,2100.486742,2100.662241,2101.212742,2109.525242,0,NaN,0,7.00000000000003,1,2,66,0.5
20,2110.575246,2109.965242,2110.083237,2110.575246,2118.982742,0,NaN,0,7.00000000000003,1,2,66,0.5
21,2120.578742,2119.480742,2119.991745,2120.525746,2123.149742,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
22,2124.378742,2123.535242,2123.948242,2124.378742,2144.731242,0,NaN,0,7.00000000000003,1,2,66,0.5
23,2148.882242,2148.023742,2148.376742,2148.882242,2163.696742,0,NaN,0,7.00000000000003,1,2,66,0.5
24,2165.121742,2164.298242,2164.634742,2165.069242,2168.596246,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
25,2170.178742,2169.097242,2169.621742,2170.125746,2175.527242,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
26,2176.762742,2176.102742,2176.308742,2176.762742,2221.510242,0,NaN,0,7.00000000000003,1,2,66,0.5
27,2222.809242,2221.979742,2222.300742,2222.756742,2229.029242,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
28,2230.281242,2229.657242,2229.862242,2230.247242,2234.108742,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
29,2235.427742,2234.644242,2234.968741,2235.374242,2240.458242,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
30,2241.559242,2240.830742,2241.055242,2241.559242,2244.983742,0,NaN,0,7.00000000000003,1,2,66,0.5
31,2249.470743,2248.848242,2249.037242,2249.466743,2253.590244,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
32,2255.140242,2254.307243,2254.526243,2255.087746,2257.983742,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
33,2259.092244,2258.328742,2258.642244,2259.039742,2262.899742,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
34,2264.161742,2263.507741,2263.698242,2264.161742,2268.094241,0,NaN,0,7.00000000000003,1,2,66,0.5
35,2272.142242,2271.639242,2271.675742,2272.089242,2275.832242,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
36,2276.925742,2276.302242,2276.458736,2276.893742,2279.923242,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
37,2281.126748,2280.286736,2280.583742,2281.074242,2283.744746,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
38,2284.789742,2284.095742,2284.391242,2284.789742,2289.671242,1,NaN,0,5.99999999999996,2,1,65,0.5
39,2291.339746,2290.715742,2290.944742,2291.339746,2298.574742,1,NaN,0,5.99999999999996,2,1,65,0.5
40,2299.609243,2298.931242,2299.143242,2299.556742,2303.528246,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
41,2304.811742,2303.930742,2304.302742,2304.758746,2308.119742,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
42,2309.323243,2308.475242,2308.831242,2309.270243,2313.484242,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
43,2314.767242,2313.869746,2314.109746,2314.714242,2317.861242,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
44,2318.882243,2318.194742,2318.417742,2318.829242,2322.770742,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
45,2324.543742,2323.776742,2323.946242,2324.543742,2330.812742,0,NaN,0,7.00000000000003,1,2,66,0.5
46,2332.268242,2331.605742,2331.768742,2332.268242,2333.973742,0,NaN,0,7.00000000000003,1,2,66,0.5
47,2339.957742,2339.309246,2339.566742,2339.957742,2345.634742,1,NaN,0,5.99999999999996,2,1,65,0.5
48,2347.119242,2346.133742,2346.502745,2347.066742,2351.416242,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
49,2352.530246,2351.906242,2352.099742,2352.498746,2355.142242,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
50,2356.269742,2355.507242,2355.821242,2356.217241,2358.791742,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
