trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,120.755025,119.959692,120.035025,120.701691,130.571015,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
2,132.086347,131.461681,131.622347,132.060347,141.321671,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
3,142.940336,141.798337,142.03167,142.940336,148.759663,1,NaN,0,5.99999999999996,2,1,65,0.5
4,150.994994,150.292328,150.651661,150.994994,154.971657,1,NaN,0,5.99999999999996,2,1,65,0.5
5,160.724318,157.028322,157.235655,160.721651,184.814294,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
6,186.568959,185.291627,186.090959,186.568959,211.8176,0,NaN,0,7.00000000000003,1,2,66,0.5
7,215.826263,214.947597,215.35693,215.77293,221.227591,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
8,223.275589,222.358923,222.788256,223.275589,236.726242,0,NaN,0,7.00000000000003,1,2,66,0.5
9,241.976237,241.214904,241.576904,241.976237,246.992232,1,NaN,0,5.99999999999996,2,1,65,0.5
10,248.949563,247.550898,248.309564,248.946896,252.539559,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
11,254.012891,253.138225,253.548225,253.959558,263.374215,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
12,264.89288,263.874215,264.432214,264.839547,280.146865,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
13,281.181531,280.504865,280.844864,281.181531,285.531526,1,NaN,0,5.99999999999996,2,1,65,0.5
14,290.485521,289.476856,290.094855,290.485521,296.398182,1,NaN,0,5.99999999999996,2,1,65,0.5
15,302.860842,301.974177,302.458176,302.807509,305.26284,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
16,312.2075,310.980834,311.592834,312.154166,315.448163,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
